game,hype,team1,team2,shortDate,gameInfo,possessions,eFG,perDrama,conference
4313,1,Weber St.,Southern Utah,"Thursday, February 13, 2014",Weber St. 75  Southern Utah 55,62,0.572222222,0.004,Big Sky
962,1,New Mexico St.,Bethune Cookman,"Monday, November 25, 2013",New Mexico St. 79  Bethune Cookman 56,57,0.558252427,0.004,Non-Conference
3735,1,North Carolina,North Carolina St.,"Saturday, February 1, 2014",North Carolina 84  North Carolina St. 70,77,0.425925926,0.0039,ACC
5446,1,Richmond,Fairfield,"Sunday, November 24, 2013",Richmond 68  Fairfield 47,63,0.40625,0.0039,Non-Conference
198,1,Princeton,Florida A&M,"Sunday, November 10, 2013",Princeton 67  Florida A&M 50,61,0.417431193,0.0039,Non-Conference
4785,1,UC Santa Barbara,Cal St. Fullerton,"Saturday, February 22, 2014",UC Santa Barbara 80  Cal St. Fullerton 65,63,0.52970297,0.0039,Big West
3056,1,Saint Joseph's,Penn,"Saturday, January 18, 2014",Saint Joseph's 85  Penn 68,70,0.603448276,0.0039,Non-Conference
2403,1,Ohio St.,Nebraska,"Saturday, January 4, 2014",Ohio St. 84  Nebraska 53,65,0.514150943,0.0039,Big Ten
4116,1,Hampton,Howard,"Saturday, February 8, 2014",Hampton 63  Howard 47,70,0.361386139,0.0039,MEAC
1628,1,East Carolina,North Carolina A&T,"Saturday, December 14, 2013",East Carolina 84  North Carolina A&T 71,67,0.514150943,0.0039,Non-Conference
5418,1,Rhode Island,McNeese St.,"Tuesday, November 26, 2013",Rhode Island 76  McNeese St. 71,67,0.53125,0.0039,Non-Conference
718,1,Northwestern,Illinois Chicago,"Wednesday, November 20, 2013",Northwestern 93  Illinois Chicago 58,69,0.513274336,0.0039,Non-Conference
1658,1,Nebraska,Arkansas St.,"Saturday, December 14, 2013",Nebraska 79  Arkansas St. 67,75,0.526086957,0.0039,Non-Conference
1986,1,Pittsburgh,Cal Poly,"Saturday, December 21, 2013",Pittsburgh 73  Cal Poly 56,62,0.504504505,0.0039,Non-Conference
5109,1,Harvard,Columbia,"Saturday, March 1, 2014",Harvard 80  Columbia 47,60,0.54494382,0.0038,Ivy League
4940,1,Wagner,St. Francis PA,"Thursday, February 27, 2014",Wagner 74  St. Francis PA 45,60,0.430327869,0.0038,Northeast
3888,1,Louisville,Houston,"Wednesday, February 5, 2014",Louisville 77  Houston 62,64,0.569892473,0.0038,American
616,1,Providence,Vermont,"Monday, November 18, 2013",Providence 70  Vermont 49,64,0.477272727,0.0038,Non-Conference
1612,1,LSU,Louisiana Monroe,"Saturday, December 14, 2013",LSU 61  Louisiana Monroe 54,66,0.426605505,0.0038,Non-Conference
767,1,Marquette,New Hampshire,"Thursday, November 21, 2013",Marquette 58  New Hampshire 53,66,0.387254902,0.0038,Non-Conference
1522,1,Illinois,Auburn,"Sunday, December 8, 2013",Illinois 81  Auburn 62,62,0.596153846,0.0038,Non-Conference
1646,1,Gonzaga,South Alabama,"Saturday, December 14, 2013",Gonzaga 68  South Alabama 59,72,0.402439024,0.0038,Non-Conference
1482,1,Butler,North Dakota,"Saturday, December 7, 2013",Butler 79  North Dakota 64,76,0.479338843,0.0038,Non-Conference
5179,1,Eastern Michigan,Ball St.,"Tuesday, March 4, 2014",Eastern Michigan 72  Ball St. 58,67,0.411764706,0.0038,MAC
2311,1,Duquesne,Appalachian St.,"Thursday, January 2, 2014",Duquesne 79  Appalachian St. 55,70,0.444444444,0.0038,Non-Conference
4924,1,Davidson,UNC Greensboro,"Thursday, February 27, 2014",Davidson 79  UNC Greensboro 46,69,0.446280992,0.0038,Southern
82,1,Rutgers,Florida A&M,"Friday, November 8, 2013",Rutgers 92  Florida A&M 84,82,0.485611511,0.0038,Non-Conference
4310,1,New Mexico St.,UMKC,"Thursday, February 13, 2014",New Mexico St. 71  UMKC 48,65,0.364341085,0.0038,WAC
1074,1,San Diego St.,College of Charleston,"Thursday, November 28, 2013",San Diego St. 72  College of Charleston 52,59,0.504950495,0.0038,Non-Conference
4120,1,Davidson,Furman,"Saturday, February 8, 2014",Davidson 65  Furman 50,64,0.522988506,0.0037,Southern
2253,1,Pittsburgh,Albany,"Tuesday, December 31, 2013",Pittsburgh 58  Albany 46,60,0.40952381,0.0037,Non-Conference
2126,1,Michigan,Holy Cross,"Saturday, December 28, 2013",Michigan 88  Holy Cross 66,66,0.558333333,0.0037,Non-Conference
4612,1,Georgia St.,Louisiana Monroe,"Thursday, February 20, 2014",Georgia St. 75  Louisiana Monroe 60,66,0.5,0.0037,Sun Belt
3351,1,Manhattan,Rider,"Friday, January 24, 2014",Manhattan 67  Rider 51,71,0.368932039,0.0037,MAAC
1697,1,Fordham,Howard,"Saturday, December 14, 2013",Fordham 79  Howard 60,59,0.468503937,0.0037,Non-Conference
3234,1,Canisius,Niagara,"Wednesday, January 22, 2014",Canisius 87  Niagara 74,66,0.542372881,0.0037,MAAC
1904,1,Memphis,Southeast Missouri St.,"Saturday, December 21, 2013",Memphis 77  Southeast Missouri St. 65,68,0.504098361,0.0037,Non-Conference
2869,1,Louisiana Lafayette,Texas St.,"Monday, January 13, 2014",Louisiana Lafayette 81  Texas St. 58,64,0.590425532,0.0037,Sun Belt
5495,1,Saint Joseph's,Siena,"Friday, November 29, 2013",Saint Joseph's 78  Siena 66,67,0.523809524,0.0037,Non-Conference
4401,1,Gonzaga,Loyola Marymount,"Saturday, February 15, 2014",Gonzaga 86  Loyola Marymount 67,66,0.50877193,0.0037,WCC
5195,1,Wisconsin,Purdue,"Wednesday, March 5, 2014",Wisconsin 76  Purdue 70,67,0.49137931,0.0037,Big Ten
1773,1,Youngstown St.,Bethune Cookman,"Tuesday, December 17, 2013",Youngstown St. 71  Bethune Cookman 59,59,0.535714286,0.0037,Non-Conference
2093,1,Duke,Eastern Michigan,"Saturday, December 28, 2013",Duke 82  Eastern Michigan 59,70,0.448275862,0.0037,Non-Conference
5565,1,Georgia St.,South Alabama,"Monday, February 3, 2014",Georgia St. 85  South Alabama 65,59,0.63,0.0037,Sun Belt
2745,1,Harvard,Dartmouth,"Saturday, January 11, 2014",Harvard 61  Dartmouth 45,58,0.433333333,0.0037,Ivy League
5373,1,San Francisco,Nicholls St.,"Saturday, December 14, 2013",San Francisco 77  Nicholls St. 48,65,0.489247312,0.0036,Non-Conference
2109,1,UNLV,Cal St. Fullerton,"Saturday, December 28, 2013",UNLV 83  Cal St. Fullerton 64,73,0.456,0.0036,Non-Conference
4809,1,Holy Cross,Navy,"Sunday, February 23, 2014",Holy Cross 74  Navy 57,65,0.480769231,0.0036,Patriot League
365,1,Georgetown,Wright St.,"Wednesday, November 13, 2013",Georgetown 88  Wright St. 70,74,0.517699115,0.0036,Non-Conference
3962,1,VCU,Rhode Island,"Thursday, February 6, 2014",VCU 68  Rhode Island 52,68,0.377192982,0.0036,A10
2269,1,Louisville,UCF,"Tuesday, December 31, 2013",Louisville 90  UCF 65,70,0.520491803,0.0036,American
3212,1,Connecticut,Temple,"Tuesday, January 21, 2014",Connecticut 90  Temple 66,70,0.525423729,0.0036,American
3731,1,Nebraska Omaha,IUPUI,"Saturday, February 1, 2014",Nebraska Omaha 99  IUPUI 71,72,0.573643411,0.0036,Summit League
329,1,Minnesota,Montana,"Tuesday, November 12, 2013",Minnesota 84  Montana 58,68,0.5,0.0036,Non-Conference
638,1,Colorado,Arkansas St.,"Monday, November 18, 2013",Colorado 93  Arkansas St. 70,76,0.508196721,0.0036,Non-Conference
2351,1,Stephen F. Austin,Lamar,"Thursday, January 2, 2014",Stephen F. Austin 85  Lamar 65,73,0.485981308,0.0036,Southland
4936,1,Southern Miss,FIU,"Thursday, February 27, 2014",Southern Miss 78  FIU 66,73,0.532407407,0.0036,Conference USA
4939,1,Vermont,Stony Brook,"Thursday, February 27, 2014",Vermont 69  Stony Brook 53,59,0.494845361,0.0036,America East
2987,1,Louisiana Tech,Tulane,"Thursday, January 16, 2014",Louisiana Tech 73  Tulane 45,68,0.357142857,0.0036,Conference USA
4335,1,Iona,Monmouth,"Friday, February 14, 2014",Iona 89  Monmouth 70,74,0.55785124,0.0036,MAAC
3945,1,BYU,Santa Clara,"Thursday, February 6, 2014",BYU 89  Santa Clara 76,72,0.476377953,0.0036,WCC
1893,1,Southern Miss,Coppin St.,"Friday, December 20, 2013",Southern Miss 88  Coppin St. 74,67,0.585714286,0.0035,Non-Conference
2819,1,Louisiana Tech,FIU,"Saturday, January 11, 2014",Louisiana Tech 85  FIU 51,73,0.427966102,0.0035,Conference USA
2295,1,Northern Iowa,Bradley,"Wednesday, January 1, 2014",Northern Iowa 80  Bradley 46,62,0.495098039,0.0035,Missouri Valley
828,1,Utah,Lamar,"Friday, November 22, 2013",Utah 84  Lamar 57,70,0.512096774,0.0035,Non-Conference
4132,1,Wofford,The Citadel,"Saturday, February 8, 2014",Wofford 77  The Citadel 56,59,0.546296296,0.0035,Southern
281,1,Santa Clara,San Jose St.,"Tuesday, November 12, 2013",Santa Clara 89  San Jose St. 77,74,0.508695652,0.0035,Non-Conference
