teamscorepos,dateloc,possessions,totalDrama,perDrama
44 Dayton 83 75 Mississippi 80  (OT) [70],"Saturday, January 4, 2014 8:00 pm ET Tad Smith Coliseum Oxford, MS",70,8.2696,0.057031724
170 Yale 69 152 Quinnipiac 68 [69],"Wednesday, March 19, 2014 7:00 pm ET Lee Amphitheater New Haven, CT",69,7.7454,0.056951471
137 Nevada 96 172 Fresno St. 86  (2OT) [79],"Wednesday, January 22, 2014 10:00 pm ET Save Mart Center Fresno, CA",79,8.988,0.056886076
281 High Point 65 283 Winthrop 64 [58],"Saturday, February 1, 2014 7:00 pm ET Millis Center High Point, NC",58,6.5227,0.05671913
238 Texas A&M Corpus Chris 74 180 Oral Roberts 72  (OT) [63],"Saturday, February 15, 2014 4:30 pm ET American Bank Center Corpus Christi, TX",63,7.1976,0.056674016
220 Grand Canyon 74 208 Seattle 73 [66],"Thursday, February 20, 2014 10:00 pm ET KeyArena Seattle, WA",66,7.3259,0.056353077
83 Notre Dame 76 158 Boston College 73  (OT) [63],"Saturday, February 1, 2014 12:00 pm ET Joyce Center South Bend, IN",63,7.2117,0.056341406
77 Penn St. 89 68 St. John's 82  (OT) [76],"Friday, November 29, 2013 7:00 pm ET Barclays Center Brooklyn, NY",76,8.6652,0.056267532
51 Illinois 65 46 Missouri 64 [64],"Saturday, December 21, 2013 5:30 pm ET Scottrade Center St. Louis, MO",64,7.248,0.056186047
183 Youngstown St. 88 174 Milwaukee 83  (OT) [76],"Thursday, February 20, 2014 7:05 pm ET Beeghly Physical Education Center Youngstown, OH",76,8.4751,0.05612649
245 Coastal Carolina 73 238 Charleston Southern 68  (2OT) [79],"Friday, March 7, 2014 6:00 pm ET HTC Center Conway, SC",79,8.9697,0.056060625
302 Northern Kentucky 67 314 Stetson 65  (OT) [64],"Wednesday, January 1, 2014 7:00 pm ET Edmunds Center DeLand, FL",64,7.0606,0.056036508
215 North Texas 63 319 Rice 62  (OT) [69],"Tuesday, March 11, 2014 5:30 pm ET Don Haskins Center El Paso, TX",69,7.9951,0.05590979
317 Houston Baptist 74 303 Army 72  (OT) [77],"Saturday, November 30, 2013 1:00 pm ET Christl Arena West Point, NY",77,8.7549,0.055763694
2 Syracuse 91 3 Duke 89  (OT) [68],"Saturday, February 1, 2014 6:30 pm ET Carrier Dome Syracuse, NY",68,7.5733,0.055686029
70 Georgia St. 79 147 Arkansas St. 76  (OT) [75],"Tuesday, March 4, 2014 8:05 pm ET Convocation Center Jonesboro, AR",75,8.374,0.055456954
91 Notre Dame 68 51 Clemson 64  (2OT) [67],"Tuesday, February 11, 2014 7:00 pm ET Joyce Center South Bend, IN",67,7.5796,0.055325547
236 Grand Canyon 79 289 Texas Pan American 78  (OT) [76],"Saturday, March 8, 2014 8:00 pm ET UTPA Fieldhouse Edinburg, TX",76,8.3292,0.055160265
59 Missouri 57 127 Texas A&M 56 [60],"Wednesday, March 5, 2014 8:00 pm ET Mizzou Arena Columbia, MO",60,6.619,0.055158333
270 Chattanooga 83 228 Western Carolina 81  (OT) [71],"Thursday, February 27, 2014 7:00 pm ET Ramsey Center Cullowhee, NC",71,7.9974,0.055154483
260 Utah Valley 62 124 Weber St. 59 [61],"Wednesday, December 11, 2013 9:05 pm ET UCCU Center Orem, UT",61,6.8911,0.0551288
244 East Tennessee St. 89 260 Lipscomb 88  (2OT) [90],"Tuesday, March 4, 2014 7:00 pm ET MSHA Athletic Center Johnson City, TN",90,9.8619,0.055094413
226 Radford 64 206 Florida Gulf Coast 63 [61],"Monday, December 23, 2013 5:00 pm ET Orleans Arena Las Vegas, NV",61,6.9364,0.055050794
229 San Jose St. 89 310 UC Davis 85  (3OT) [87],"Wednesday, December 18, 2013 10:00 pm ET San Jose State Event Center San Jose, CA",87,9.6602,0.0548875
